year_filmed,Misc,Computers,Sound,Stem_Cell,Nature,Cancer,Relationships,Brain,Space,DNA,Economy,Robots
1972,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,0.0,0.9514569364915991,0.0,0.0,0.0,0.0,0.044661775650619774,0.0,0.0,0.0,0.0,0.0038812878577810833
1990,0.0,0.4141913589311145,0.010148510798238407,0.024547720425305238,0.42883188589241783,0.022006949371119414,0.08214940964044452,0.0,0.0,0.0,0.0,0.018124164941360234
1991,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,0.0,0.1281529631978067,0.002017299860216657,0.2833889915685873,0.0,0.0,0.0,0.06614137632509019,0.022832357437347624,0.4773034839537965,0.020163527657155074,0.0
1998,8.474407382561333e-06,0.14654862571306027,0.05606487885549748,0.013720877286300292,0.25989402266682676,0.00879858974508657,0.29808167614324355,0.006068038583924784,0.0738754594459004,0.041280781078165116,0.027402190053403698,0.0682563860212087
2001,0.44031367262682514,0.14034852966271263,0.020518117381539462,0.006276527102204545,0.018732878322370326,0.0040986145194619635,0.3006266567978665,0.01728993262841714,0.003993288242247186,0.0,0.04780178271635511,0.0
2002,1.0838259299537036e-05,0.19049617745121705,0.08683347393301918,0.014526940235033139,0.15295902179117174,0.01388393332914784,0.17143648811753026,0.061790636149558056,0.12591287311719315,0.05312827759052449,0.06786495193448487,0.06115638809182068
2003,9.005271719255919e-06,0.13431866668689746,0.11432341030821154,0.0377544586013932,0.11989066319869528,0.024112253758992754,0.10708300127729437,0.09160548744717047,0.10941315238432404,0.09245120635165976,0.07160349434050256,0.09743520037313938
2004,0.059543012674309496,0.19557354076311093,0.10058729244011536,0.023546152789574674,0.10625928365644592,0.049710304101063835,0.1748723738968704,0.1299052343276963,0.042281691166726545,0.03302846540938013,0.07345250204405021,0.011240146730656046
2005,0.09663292525872748,0.13320014407849604,0.016373517236629952,0.04586071525544821,0.08772791334224593,0.04678013308459344,0.08857528765437192,0.04124671372127574,0.1331793353177336,0.10836692172333612,0.17744176828829097,0.024614625038850632
2006,0.10327846067966824,0.17246508633416519,0.07575888803721091,0.041291131736777155,0.06288334439522184,0.044350965481493025,0.15984776171873055,0.04548609376674095,0.07658344397839797,0.057949571814038946,0.1479523161126486,0.012152935944906663
2007,0.06317883459382335,0.1447042653864434,0.06280537892386845,0.019018658699665254,0.09662102833863172,0.031125936834248896,0.13587455055199368,0.04725838937011807,0.05935688692280904,0.08848850947123799,0.2169733488483055,0.03459421205885453
2008,0.09464260567910318,0.11347281899155431,0.05831013356084549,0.018794686127117766,0.09375215498098563,0.027015385411219502,0.1649594288993893,0.08558494090306269,0.16087670643689347,0.10373408768359445,0.06882699448062247,0.010030056845611755
2009,0.11544526782142016,0.10535556295706955,0.05732889200390911,0.04138696885671281,0.10832062901883652,0.047386536802424446,0.11899444171786708,0.07243381252184018,0.06954396659501984,0.04231781468797941,0.17929209068879548,0.04219401632812544
2010,0.06189413649274443,0.10567546142787894,0.0673340157277066,0.0386093325000652,0.16700504145498618,0.05573768818099501,0.1606736789878377,0.0587177817172895,0.05219463173207855,0.05130496613744468,0.15109302789903623,0.029760237741936844
2011,0.20915519630314094,0.10754313582031394,0.06154689121800437,0.06340118358833526,0.0627674716257196,0.07006379330911576,0.1171065971630979,0.0641675360200431,0.057175826948589956,0.06574917117616477,0.09812452715248943,0.023198669674985056
2012,0.036817948620933634,0.15096127572739693,0.07293533881247512,0.05617901956384309,0.06624717137957557,0.057876765485456526,0.1704500893396433,0.07126782062508226,0.04790104871829232,0.05804085495124713,0.16800274644794938,0.04331992032810467
2013,0.02193336860062634,0.13098825483453527,0.06085070436073666,0.04796572903397008,0.09510344052294334,0.0664026067557383,0.13926001888178,0.08728194992948653,0.03824708093916705,0.0573569094469949,0.19690887950350577,0.05770105719051576
2014,0.0009819979823357313,0.11790167669678243,0.0609301761201276,0.028378885656777757,0.09814574275059154,0.07410388807201973,0.21131656801082985,0.06378536181837348,0.06835295196608843,0.057365965742070174,0.1818212903071377,0.03691549487686566
2015,1.535946072945001e-05,0.11243469305542259,0.060546480083444966,0.04984217516809188,0.10616613063055896,0.07015839308232993,0.2040878039198059,0.0665755515399112,0.08983442690051618,0.06663192193940705,0.13358681099019945,0.0401202532295824
2016,0.016236726129568425,0.10892664612576107,0.032683305037033726,0.035737152480572125,0.07863831572224575,0.07617038876830536,0.22071900273210282,0.07285251286606821,0.06915997582569437,0.07131708155213254,0.18272791730975213,0.03483097545076352
2017,5.678645485046246e-06,0.12954550900183562,0.04023481134112504,0.01207849955245393,0.04085111068197222,0.05566994476275938,0.28281888557045226,0.09497022164381348,0.03884900894694859,0.03238689812192772,0.2162564044359226,0.05633302729530415
